Sr No,Model Name,Skin Name,Image Link,Warning
1,Samsung Galaxy  A52,Abstract Flow,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_Abstract%20Flow.jpg,
2,Samsung Galaxy  A52,American Valor,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_American%20Valor.jpg,
3,Samsung Galaxy  A52,Binary Flow,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_Binary%20Flow.jpg,
4,Samsung Galaxy  A52,Blade Throne,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_Blade%20Throne.jpg,
5,Samsung Galaxy  A52,Blush Bang,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_Blush%20Bang.jpg,
6,Samsung Galaxy  A52,Candy Static,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_Candy%20Static.jpg,
7,Samsung Galaxy  A52,Celestial Vistas,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_Celestial%20Vistas.jpg,
8,Samsung Galaxy  A52,Chaos Crown,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_Chaos%20Crown.jpg,
9,Samsung Galaxy  A52,Chaos Smile,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_Chaos%20Smile.jpg,
10,Samsung Galaxy  A52,Chrome Wave,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_Chrome%20Wave.jpg,
11,Samsung Galaxy  A52,Citrus Nova,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_Citrus%20Nova.jpg,
12,Samsung Galaxy  A52,Citrus Shock,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_Citrus%20Shock.jpg,
13,Samsung Galaxy  A52,Cobalt Carnival,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_Cobalt%20Carnival.jpg,
14,Samsung Galaxy  A52,Colorful Owl,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_Colorful%20Owl.jpg,
15,Samsung Galaxy  A52,Colorful Tiles,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_Colorful%20Tiles.jpg,
